PeakAcceleration,MotionVariance,AudioEnergy,GPSVelocity,PossibleFall,Emergency
9.8,0.25,0.05,0.2,False,0
10.2,0.31,0.08,1.2,False,0
11.5,0.45,0.12,2.0,False,0
8.9,0.20,0.04,0.5,False,0
12.1,0.62,0.15,3.1,False,0
10.7,0.35,0.09,1.8,False,0
13.2,0.71,0.18,2.5,False,0
9.5,0.28,0.06,0.7,False,0
11.8,0.52,0.11,1.4,False,0
12.5,0.80,0.20,3.5,False,0
14.0,1.10,0.22,2.8,False,0
13.5,0.95,0.25,4.0,False,0
10.0,0.40,0.07,1.0,False,0
11.2,0.55,0.10,2.2,False,0
12.8,0.65,0.14,3.0,False,0
16.5,12.4,0.55,0.0,True,1
18.2,18.7,0.68,0.0,True,1
20.1,25.3,0.75,0.1,True,1
22.5,30.2,0.81,0.0,True,1
24.1,33.5,0.82,0.2,True,1
19.8,22.6,0.70,0.0,True,1
21.4,27.8,0.77,0.0,True,1
25.2,36.1,0.88,0.0,True,1
17.9,15.8,0.61,0.1,True,1
23.7,31.4,0.84,0.0,True,1
20.8,24.9,0.73,0.2,True,1
18.6,19.3,0.65,0.0,True,1
26.1,40.2,0.91,0.0,True,1
22.8,29.7,0.79,0.1,True,1
19.5,21.5,0.69,0.0,True,1
